angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.32,"[785, 275, 279, 357]",0.0,0.17,0.0,0.36,0.15,0.0
0.3,"[785, 274, 279, 358]",0.0,0.2,0.0,0.33,0.17,0.0
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.17,"[788, 263, 285, 360]",0.0,0.19,0.0,0.28,0.34,0.01
0.16,"[788, 263, 286, 360]",0.0,0.2,0.0,0.28,0.34,0.02
0.15,"[789, 263, 285, 359]",0.0,0.22,0.0,0.25,0.36,0.01
0.17,"[789, 262, 285, 360]",0.0,0.19,0.0,0.24,0.39,0.01
0.17,"[789, 262, 285, 360]",0.0,0.19,0.0,0.24,0.39,0.01
0.17,"[791, 264, 284, 359]",0.0,0.19,0.0,0.28,0.33,0.03
0.18,"[791, 264, 284, 358]",0.0,0.16,0.0,0.28,0.37,0.02
0.2,"[790, 251, 275, 343]",0.0,0.38,0.0,0.19,0.18,0.05
0.2,"[790, 251, 275, 343]",0.0,0.38,0.0,0.19,0.18,0.04
0.19,"[789, 252, 275, 341]",0.0,0.37,0.0,0.22,0.17,0.04
0.19,"[789, 252, 275, 341]",0.0,0.38,0.0,0.22,0.17,0.04
0.17,"[790, 252, 275, 341]",0.0,0.4,0.0,0.22,0.16,0.05
0.17,"[790, 252, 275, 341]",0.0,0.41,0.0,0.22,0.15,0.05
0.17,"[792, 251, 275, 344]",0.0,0.4,0.0,0.23,0.16,0.04
0.18,"[794, 252, 274, 344]",0.0,0.38,0.0,0.24,0.17,0.02
0.15,"[793, 253, 274, 343]",0.0,0.39,0.0,0.26,0.18,0.02
0.19,"[795, 251, 275, 346]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[794, 252, 275, 344]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[794, 252, 275, 344]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[793, 249, 277, 348]",0.0,0.46,0.0,0.16,0.13,0.05
0.2,"[794, 250, 276, 346]",0.0,0.44,0.0,0.18,0.13,0.05
0.19,"[794, 249, 277, 349]",0.0,0.49,0.0,0.14,0.12,0.06
0.23,"[794, 248, 277, 350]",0.0,0.46,0.0,0.12,0.13,0.05
0.23,"[794, 248, 277, 350]",0.0,0.46,0.0,0.12,0.13,0.05
0.17,"[795, 253, 274, 342]",0.0,0.4,0.0,0.23,0.14,0.06
0.17,"[795, 253, 274, 342]",0.0,0.41,0.0,0.23,0.14,0.06
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.08,"[792, 246, 279, 357]",0.0,0.32,0.0,0.35,0.25,0.0
0.08,"[792, 246, 279, 357]",0.0,0.32,0.0,0.35,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.27,0.0,0.28,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.26,0.0,0.28,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.26,0.0,0.28,0.25,0.0
0.18,"[794, 251, 275, 344]",0.0,0.33,0.0,0.3,0.18,0.01
0.21,"[793, 250, 275, 346]",0.0,0.26,0.0,0.34,0.18,0.01
0.16,"[794, 253, 275, 342]",0.0,0.4,0.0,0.24,0.17,0.03
0.15,"[793, 251, 276, 345]",0.0,0.43,0.0,0.24,0.16,0.02
0.15,"[793, 253, 275, 342]",0.0,0.35,0.0,0.29,0.18,0.02
0.15,"[793, 250, 277, 348]",0.0,0.46,0.0,0.21,0.15,0.03
0.15,"[793, 250, 277, 348]",0.0,0.46,0.0,0.21,0.15,0.03
0.2,"[795, 251, 276, 348]",0.0,0.39,0.0,0.23,0.14,0.04
0.2,"[795, 251, 276, 348]",0.0,0.38,0.0,0.23,0.14,0.04
0.2,"[795, 251, 276, 348]",0.0,0.38,0.0,0.23,0.14,0.04
0.15,"[785, 248, 282, 360]",0.0,0.19,0.0,0.52,0.11,0.03
0.16,"[786, 249, 281, 359]",0.0,0.18,0.0,0.51,0.11,0.03
0.17,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.18,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.18,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.13,"[788, 253, 282, 357]",0.0,0.27,0.0,0.43,0.13,0.05
0.13,"[788, 252, 281, 358]",0.0,0.28,0.0,0.42,0.12,0.05
0.15,"[790, 254, 279, 355]",0.0,0.36,0.0,0.31,0.13,0.05
0.15,"[790, 254, 279, 355]",0.0,0.35,0.0,0.31,0.13,0.05
0.15,"[790, 254, 279, 355]",0.0,0.35,0.0,0.31,0.13,0.05
0.21,"[787, 250, 281, 360]",0.0,0.37,0.0,0.26,0.09,0.07
0.21,"[787, 250, 281, 360]",0.0,0.36,0.0,0.26,0.09,0.08
0.12,"[789, 253, 282, 359]",0.0,0.52,0.0,0.06,0.03,0.27
0.12,"[789, 253, 282, 359]",0.0,0.51,0.0,0.07,0.03,0.27
0.12,"[789, 253, 282, 359]",0.0,0.52,0.0,0.07,0.03,0.27
0.12,"[788, 251, 283, 360]",0.0,0.54,0.0,0.09,0.05,0.21
0.12,"[788, 251, 283, 360]",0.0,0.54,0.0,0.09,0.05,0.2
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.06,"[788, 250, 282, 362]",0.0,0.46,0.0,0.02,0.01,0.45
0.05,"[789, 251, 282, 361]",0.0,0.43,0.0,0.01,0.01,0.5
0.04,"[788, 251, 282, 361]",0.0,0.35,0.0,0.01,0.0,0.61
0.07,"[787, 249, 282, 362]",0.0,0.4,0.0,0.01,0.01,0.52
0.04,"[788, 251, 283, 362]",0.0,0.36,0.0,0.01,0.0,0.59
0.07,"[788, 250, 283, 361]",0.0,0.3,0.0,0.01,0.0,0.62
0.07,"[788, 250, 283, 361]",0.0,0.29,0.0,0.01,0.0,0.62
0.15,"[791, 253, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.53
0.1,"[790, 252, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.58
0.1,"[790, 252, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.58
0.14,"[789, 251, 282, 359]",0.0,0.29,0.0,0.02,0.01,0.53
0.15,"[790, 252, 282, 360]",0.0,0.35,0.0,0.02,0.01,0.47
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.1,"[784, 241, 286, 352]",0.0,0.13,0.0,0.01,0.01,0.74
0.1,"[783, 242, 287, 351]",0.0,0.13,0.0,0.01,0.01,0.75
0.36,"[794, 234, 275, 358]",0.0,0.11,0.13,0.03,0.03,0.34
0.35,"[794, 235, 275, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.35,"[794, 235, 275, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.04,"[788, 237, 266, 343]",0.0,0.04,0.87,0.01,0.0,0.03
0.05,"[789, 238, 265, 341]",0.0,0.04,0.86,0.01,0.0,0.04
0.01,"[788, 232, 273, 351]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[789, 232, 272, 350]",0.0,0.01,0.97,0.0,0.0,0.01
